iter	Passed	Remaining
153	345	1899
154	347	1894
155	349	1889
156	351	1887
157	353	1882
158	355	1878
159	356	1873
160	358	1869
161	360	1865
162	363	1866
163	365	1862
164	368	1862
165	369	1857
166	371	1853
167	373	1849
168	375	1848
169	378	1847
170	380	1845
171	382	1843
172	384	1839
173	386	1835
174	388	1832
175	390	1829
176	392	1826
177	394	1822
178	396	1817
179	398	1814
180	399	1806
181	401	1802
182	402	1798
183	404	1794
184	406	1790
185	408	1786
186	409	1782
187	411	1779
188	413	1775
189	415	1771
190	417	1768
191	419	1766
192	422	1764
193	423	1760
194	425	1757
195	427	1753
196	429	1749
197	430	1744
198	432	1741
199	434	1737
200	436	1734
201	438	1730
202	439	1727
203	441	1723
204	443	1720
205	445	1716
206	447	1712
207	448	1708
208	450	1705
209	452	1702
210	454	1698
211	455	1694
212	457	1691
213	459	1688
214	461	1684
215	463	1681
216	466	1681
217	468	1679
218	472	1683
219	475	1684
220	477	1682
221	479	1680
222	481	1678
223	483	1675
224	486	1674
225	489	1675
226	491	1672
227	493	1669
228	495	1666
229	496	1663
230	498	1660
231	500	1657
232	502	1655
233	505	1654
234	507	1651
235	509	1648
236	511	1645
237	513	1642
238	514	1639
239	519	1644
240	522	1644
241	524	1641
242	526	1638
243	528	1637
244	530	1634
245	533	1635
246	535	1632
247	537	1628
248	538	1625
249	540	1621
250	542	1618
251	544	1614
252	545	1611
253	548	1610
254	550	1607
255	552	1604
256	554	1601
257	556	1599
258	558	1597
259	560	1594
260	562	1594
261	564	1590
262	567	1589
263	569	1586
264	570	1583
265	572	1581
266	575	1579
267	578	1579
268	579	1575
269	581	1572
270	583	1569
271	585	1566
272	587	1565
273	589	1562
274	591	1560
275	594	1558
276	596	1556
277	598	1553
278	600	1550
279	601	1547
280	603	1544
281	605	1541
282	608	1541
283	611	1541
284	614	1540
285	615	1537
286	617	1534
287	619	1531
288	621	1530
289	624	1528
290	627	1528
291	629	1525
292	631	1523
293	632	1520
294	634	1517
295	636	1514
296	638	1511
297	640	1508
298	642	1506
299	644	1502
300	645	1500
301	647	1497
302	649	1493
303	651	1491
304	653	1488
305	655	1485
306	656	1482
307	658	1479
308	660	1476
309	661	1473
310	663	1470
311	665	1467
312	667	1464
313	668	1461
314	670	1458
315	672	1455
316	674	1452
317	675	1449
318	677	1446
319	679	1443
320	681	1440
321	682	1438
322	684	1434
323	686	1432
324	688	1429
325	690	1427
326	692	1424
327	693	1421
328	696	1419
329	697	1417
330	699	1414
331	701	1411
332	703	1408
333	705	1406
334	707	1403
335	708	1400
336	710	1398
337	712	1395
338	714	1392
339	716	1390
340	717	1387
341	719	1384
342	721	1382
343	723	1379
344	725	1376
345	726	1373
346	728	1370
347	730	1368
348	731	1365
349	733	1362
350	735	1359
351	736	1356
352	738	1354
353	741	1352
354	743	1350
355	744	1347
356	746	1344
357	748	1342
358	751	1341
359	754	1340
360	755	1338
361	757	1335
362	759	1333
363	762	1331
364	764	1329
365	765	1326
366	767	1324
367	769	1321
368	771	1319
369	773	1316
370	775	1314
371	776	1311
372	778	1309
373	780	1306
374	782	1304
375	784	1302
376	787	1300
377	789	1299
378	791	1297
379	793	1294
380	795	1292
381	797	1290
382	799	1288
383	801	1285
384	803	1283
385	805	1280
386	807	1278
387	809	1276
388	811	1273
389	812	1271
390	814	1268
391	816	1266
392	818	1263
393	819	1261
394	821	1258
395	823	1256
396	826	1254
397	827	1252
398	829	1250
399	832	1248
400	834	1246
401	836	1243
402	838	1241
403	840	1239
404	842	1237
405	844	1235
406	846	1233
407	849	1232
408	852	1232
409	854	1229
410	856	1227
411	858	1225
412	860	1223
413	863	1221
414	865	1220
415	868	1219
416	870	1217
417	872	1215
418	875	1213
419	876	1210
420	878	1208
421	881	1206
422	883	1205
423	885	1202
424	887	1200
425	890	1199
426	892	1198
427	894	1195
428	896	1193
429	899	1192
430	902	1191
431	904	1189
432	906	1187
433	908	1184
434	910	1182
435	911	1179
436	913	1177
437	915	1175
438	918	1173
439	920	1171
440	922	1169
441	924	1166
442	926	1164
443	928	1162
444	930	1160
445	932	1157
446	933	1155
447	936	1153
448	938	1151
449	940	1149
450	941	1146
451	943	1144
452	945	1141
453	947	1139
454	949	1137
